id;data_field;caption;visible;data_type;format;width;allow_sorting;allow_filtering
1;dès;broum vouh secouriste;false;trop peu;drôlement;30932;true;true
2;ferme miam jeune enfant;tendre;false;de peur que multiple même si;blême;15654;false;false
3;charitable;insister sous couleur de;true;au-dessus de main-d’œuvre;psitt;24850;true;false
4;afin que;actionnaire pourvu que vu que;true;de peur que;à cause de gestionnaire carrément;9872;false;false
5;exprès tic-tac tandis que;de peur que pour que;false;débile pourpre personnel professionnel;au cas où aux environs de;21127;true;false
6;dépendre fort;atchoum;false;de sorte que;oui atchoum;19502;false;false
7;foule;probablement meuh serviable;false;sur ding aïe;au dépens de de façon que;25759;false;true
8;grrr cadre;jamais installer;false;communauté étudiante en dépit de présidence;parler développer;8522;false;false
9;sitôt que clac disposer;de façon à ce que;true;multiple encore;depuis pff bè;5606;false;false
10;triathlète au-devant grandement;à côté de totalement de peur que;true;outre complètement outre;apparemment;14319;false;true
