id;grid_name;page_size;pager_allowed_page_sizes;pager_show_page_size_selector;pager_show_navigation_buttons;allow_sorting;sorting_mode;allow_filtering;filter_row_visible;header_filter_visible;allow_search;search_panel_visible;search_panel_width;search_panel_placeholder;allow_column_chooser;column_chooser_enabled;column_hiding_enabled;allow_export;export_enabled;export_file_name;allow_grouping;group_panel_visible;allow_column_reordering;allow_column_resizing;selection_mode;selection_allow_select_all;selection_show_check_boxes_mode;editing_mode;editing_allow_adding;editing_allow_updating;editing_allow_deleting;created_date
1;corps enseignant secours;15075;délégation partenaire;false;false;false;juriste comme;true;false;false;true;true;17343;sans que toc loin;true;true;true;true;false;au moyen de toc-toc atchoum;true;false;false;false;concernant;false;gens à force de;rectorat;true;true;false;2025-07-12T08:11:36
2;en outre de personnel personnel;25705;à l'instar de lunatique;true;false;true;délégation rédaction;true;true;true;false;true;26897;impressionner personnel professionnel tisser;false;true;true;true;false;fonctionnaire en dépit de;false;true;false;true;communauté étudiante;false;en dehors de pendant devant;actionnaire;false;true;false;2025-07-11T20:18:55
3;débile pencher;13513;outre grrr commis de cuisine;true;false;true;toutefois rompre épuiser;false;false;false;true;false;26433;du fait que cyan;false;false;true;true;true;en guise de sauf à conseil d’administration;false;true;false;true;au dépens de solitaire vu que;false;soudain si;jusqu’à ce que;true;true;false;2025-07-11T19:14:40
4;gens perdre;10941;délectable refroidir;false;true;false;dessous quant à;false;true;false;true;true;3677;avant de;true;false;false;true;true;tellement fonctionnaire bousculer;false;false;false;false;électorat espiègle causer;false;secours vroum un peu;sauf tantôt;false;true;true;2025-07-12T10:51:00
5;touriste fort;9972;franchir rudement rectangulaire;true;false;true;compenser entre-temps;false;true;false;false;false;16243;au prix de;true;false;true;true;true;ouch;true;true;false;false;tant que;false;soumettre considérable électorat;où;false;false;false;2025-07-11T23:17:21
6;ouah meuh aggraver;28210;délégation penser;false;true;true;à raison de vivace ha;true;true;true;true;false;9652;croâ certes cuicui;false;true;false;true;false;tandis que présidence joliment;true;true;true;true;pin-pon derrière spécialiste;true;guide jeune;gens commis de cuisine en;true;false;true;2025-07-12T07:35:40
7;protester exploiter;19370;si bien que membre du personnel d'entre;false;true;true;près;true;true;true;true;true;21845;cuicui de manière à ce que;true;false;true;false;true;toc-toc;false;false;false;true;prout;false;puisque;entre entièrement;true;true;true;2025-07-11T19:43:39
8;depuis depuis concernant;11455;comme;false;false;true;insuffisamment badaboum à moins de;false;true;false;false;true;4938;hormis;true;false;false;true;false;sincère tisser de façon que;true;true;false;false;alors charitable;true;foule;bang;true;true;false;2025-07-12T06:37:50
9;au-dedans de quasiment;15496;commissionnaire peu tant;false;false;true;glouglou;true;false;false;true;false;6498;antagoniste autour de;true;false;false;true;false;sembler durant effondrer;false;false;false;true;par rapport à déjà hors;false;sans doute bon membre à vie;désagréable miam;false;true;true;2025-07-11T20:13:17
10;mairie sans que;12829;résoudre;true;false;false;à la faveur de tranquille étant donné que;true;true;true;false;true;3348;au-dehors équipe de recherche pas mal;true;false;false;true;false;sitôt que rompre;true;false;true;false;vis-à-vie de cuicui puisque;false;tellement;blablabla euh loufoque;true;true;false;2025-07-11T15:41:51
