id;location;widget;icon;text;hint;on_click_action;visible
1;sincère vouh entièrement;triathlète;d’autant que;insuffisamment virer;même si prout;aux alentours de;false
2;déposer;ah;plancher dès rudement;minuscule au-dessus de;via du fait que de crainte que;résister;true
3;police de crainte que malgré;que libérer gestionnaire;autrefois;présidence grossir via;de sorte que;par suite de remplacer;false
4;même si;adepte svelte;en outre de plic poser;de façon que différencier ensemble;porte-parole;pendant;false
5;auparavant actionnaire auprès de;adepte régler;autrefois vis-à-vie de;ding;conseil municipal équipe complètement;maintenant de peur de plouf;false
6;tranquille vérifier membre du personnel;tranquille bien que de façon que;devant;délectable lunatique;même si horrible avex;près pin-pon;true
7;aussitôt que comme en faveur de;mieux clac;foule nonobstant tendre;aux alentours de autrefois toc-toc;miam depuis;puisque bof;true
8;même si;soutenir;pendant que pin-pon également;foule pin-pon;pff;saluer;false
9;magnifique gestionnaire;responsable;au-delà de la part de quoique;derrière relire;avex lunatique;rectangulaire souvent;true
10;ouah;vroum;à l'instar de;adepte;où;adversaire;true
